Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,,
Low_Risk:Dalembert,77,87.233,542.668,-639,-21.3,4185.183,,,
Low_Risk:Dalembert,78,84.267,573.099,-831,-27.7,4212.355,,,
Low_Risk:Dalembert,79,88.733,394.409,-658,-21.933,4074.133,,,
Low_Risk:Dalembert,80,83.4,626.455,-1168,-38.933,3410.478,,,
Low_Risk:Dalembert,81,87.267,424.202,-956,-31.867,4035.982,,,
Low_Risk:Dalembert,82,90.4,301.628,-739,-24.633,4028.93,,,
Low_Risk:Dalembert,83,88.933,405.513,-529,-17.633,3456.792,,,
Low_Risk:Dalembert,84,91.267,424.616,-622,-20.733,3940.685,,,
Low_Risk:Dalembert,85,90.467,284.533,-698,-23.267,4018.478,,,
Low_Risk:Dalembert,86,90.933,268.892,-608,-20.267,4202.685,,,
Low_Risk:Dalembert,87,88.7,340.079,-810,-27,4650.345,,,
Low_Risk:Dalembert,88,88.5,380.052,-853,-28.433,3889.702,,,
Low_Risk:Dalembert,89,86.967,451.964,-654,-21.8,4019.476,,,
Low_Risk:Dalembert,90,85.8,552.166,-535,-17.833,4254.557,,,
Low_Risk:Dalembert,91,92.767,245.151,-611,-20.367,3832.861,,,
Low_Risk:Dalembert,92,88.9,376.438,-877,-29.233,3930.392,,,
Low_Risk:Dalembert,93,88.233,346.047,-1006,-33.533,4111.706,,,
Low_Risk:Dalembert,94,87.9,485.197,-599,-19.967,3865.757,,,
Low_Risk:Dalembert,95,90.233,427.013,-562,-18.733,3752.133,,,
Low_Risk:Dalembert,96,91.5,379.431,-140,-4.667,3370.644,,,
Low_Risk:Dalembert,97,87.733,461.582,-846,-28.2,4025.062,,,
Low_Risk:Dalembert,98,86.9,489.334,-761,-25.367,3841.689,,,
Low_Risk:Dalembert,99,91.167,318.764,-644,-21.467,4186.947,,,
Low_Risk:Dalembert,100,86.6,579.076,-333,-11.1,3949.472,,,
Low_Risk:Dalembert,101,85.867,459.223,-1295,-43.167,4181.316,,,
Low_Risk:Dalembert,102,89.7,329.459,-568,-18.933,4479.995,,,
Low_Risk:Dalembert,103,88.867,437.292,-732,-24.4,4283.559,,,
Low_Risk:Dalembert,104,89.5,337.155,-894,-29.8,3750.166,,,
Low_Risk:Dalembert,105,84.533,638.533,-1177,-39.233,3461.495,,,
Low_Risk:Dalembert,106,89.9,594.99,-82,-2.733,3152.685,,,
Low_Risk:Dalembert,107,93.567,299.013,-341,-11.367,3876.171,,,
Low_Risk:Dalembert,108,78.6,526.869,-1947,-64.9,3424.438,,,
Low_Risk:Dalembert,109,88.067,315.651,-1070,-35.667,4248.713,,,
Low_Risk:Dalembert,110,83.833,626.282,-846,-28.2,4465.614,,,
Low_Risk:Dalembert,111,90.633,350.723,-621,-20.7,3538.217,,,
Low_Risk:Dalembert,112,84.5,668.466,-977,-32.567,3440.185,,,
Low_Risk:Dalembert,113,91.867,248.12,-591,-19.7,3840.838,,,
Low_Risk:Dalembert,114,88.6,448.8,-754,-25.133,4112.671,,,
Low_Risk:Dalembert,115,92.4,265.972,-577,-19.233,3443.426,,,
Low_Risk:Dalembert,116,91.933,395.168,172,5.733,3548.202,,,
Low_Risk:Dalembert,117,96.1,212.024,52,1.733,2894.547,,,
Low_Risk:Dalembert,118,88.6,498.248,-885,-29.5,3680.879,,,
Low_Risk:Dalembert,119,91.233,301.633,-525,-17.5,3245.017,,,
