Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,,
Low_Risk:Flat-Bet,84,100,0,-262,-8.733,111.03,,,
Low_Risk:Flat-Bet,85,100,0,-118,-3.933,103.03,,,
Low_Risk:Flat-Bet,86,100,0,-144,-4.8,106.648,,,
Low_Risk:Flat-Bet,87,100,0,-260,-8.667,93.333,,,
Low_Risk:Flat-Bet,88,100,0,-172,-5.733,85.995,,,
Low_Risk:Flat-Bet,89,100,0,-128,-4.267,100.064,,,
Low_Risk:Flat-Bet,90,100,0,-276,-9.2,145.545,,,
Low_Risk:Flat-Bet,91,100,0,-96,-3.2,58.372,,,
Low_Risk:Flat-Bet,92,100,0,-140,-4.667,76.782,,,
Low_Risk:Flat-Bet,93,100,0,-192,-6.4,90.317,,,
Low_Risk:Flat-Bet,94,100,0,-54,-1.8,114.855,,,
Low_Risk:Flat-Bet,95,100,0,-122,-4.067,94.202,,,
Low_Risk:Flat-Bet,96,100,0,-336,-11.2,115.2,,,
Low_Risk:Flat-Bet,97,100,0,-128,-4.267,96.478,,,
Low_Risk:Flat-Bet,98,100,0,-184,-6.133,98.464,,,
Low_Risk:Flat-Bet,99,100,0,-200,-6.667,98.023,,,
Low_Risk:Flat-Bet,100,100,0,-242,-8.067,116.271,,,
Low_Risk:Flat-Bet,101,100,0,-154,-5.133,84.878,,,
Low_Risk:Flat-Bet,102,100,0,-118,-3.933,72.409,,,
Low_Risk:Flat-Bet,103,100,0,-156,-5.2,116.028,,,
Low_Risk:Flat-Bet,104,100,0,-228,-7.6,102.179,,,
Low_Risk:Flat-Bet,105,100,0,-38,-1.267,102.202,,,
Low_Risk:Flat-Bet,106,100,0,-178,-5.933,122.34,,,
Low_Risk:Flat-Bet,107,100,0,-120,-4,133.517,,,
Low_Risk:Flat-Bet,108,100,0,-178,-5.933,111.306,,,
Low_Risk:Flat-Bet,109,100,0,-266,-8.867,116.878,,,
Low_Risk:Flat-Bet,110,100,0,-282,-9.4,84.731,,,
Low_Risk:Flat-Bet,111,100,0,8,0.267,154.685,,,
Low_Risk:Flat-Bet,112,100,0,-178,-5.933,128.409,,,
Low_Risk:Flat-Bet,113,100,0,-224,-7.467,88.257,,,
Low_Risk:Flat-Bet,114,100,0,-166,-5.533,89.844,,,
Low_Risk:Flat-Bet,115,100,0,-104,-3.467,75.292,,,
Low_Risk:Flat-Bet,116,100,0,-166,-5.533,127.085,,,
Low_Risk:Flat-Bet,117,100,0,-162,-5.4,112.593,,,
Low_Risk:Flat-Bet,118,100,0,-48,-1.6,136.11,,,
Low_Risk:Flat-Bet,119,100,0,-176,-5.867,85.775,,,
Low_Risk:Flat-Bet,120,100,0,-152,-5.067,137.857,,,
Low_Risk:Flat-Bet,121,100,0,-246,-8.2,128.648,,,
Low_Risk:Flat-Bet,122,100,0,-200,-6.667,117.333,,,
Low_Risk:Flat-Bet,123,100,0,-162,-5.4,81.145,,,
Low_Risk:Flat-Bet,124,100,0,-66,-2.2,85.062,,,
Low_Risk:Flat-Bet,125,100,0,-166,-5.533,94.809,,,
Low_Risk:Flat-Bet,126,100,0,-126,-4.2,109.614,,,
Low_Risk:Flat-Bet,127,100,0,-182,-6.067,116.547,,,
Low_Risk:Flat-Bet,128,100,0,-164,-5.467,143.706,,,
Low_Risk:Flat-Bet,129,100,0,-184,-6.133,69.775,,,
Low_Risk:Flat-Bet,130,100,0,-130,-4.333,99.609,,,
Low_Risk:Flat-Bet,131,100,0,-156,-5.2,87.614,,,
Low_Risk:Flat-Bet,132,100,0,-252,-8.4,87.007,,,
Low_Risk:Flat-Bet,133,100,0,-126,-4.2,88.372,,,
Low_Risk:Flat-Bet,134,100,0,-148,-4.933,101.72,,,
Low_Risk:Flat-Bet,135,100,0,-174,-5.8,118.441,,,
Low_Risk:Flat-Bet,136,100,0,-188,-6.267,95.926,,,
Low_Risk:Flat-Bet,137,100,0,-116,-3.867,103.706,,,
Low_Risk:Flat-Bet,138,100,0,-132,-4.4,65.766,,,
Low_Risk:Flat-Bet,139,100,0,-234,-7.8,96.372,,,
Low_Risk:Flat-Bet,140,100,0,-188,-6.267,71.926,,,
Low_Risk:Flat-Bet,141,100,0,-218,-7.267,130.616,,,
Low_Risk:Flat-Bet,142,100,0,-300,-10,135.172,,,
Low_Risk:Flat-Bet,143,100,0,-198,-6.6,69.559,,,
Low_Risk:Flat-Bet,144,100,0,-218,-7.267,74.34,,,
Low_Risk:Flat-Bet,145,100,0,-86,-2.867,133.982,,,
Low_Risk:Flat-Bet,146,100,0,-244,-8.133,122.189,,,
Low_Risk:Flat-Bet,147,100,0,-154,-5.133,134.257,,,
Low_Risk:Flat-Bet,148,100,0,-158,-5.267,105.513,,,
Low_Risk:Flat-Bet,149,100,0,-104,-3.467,77.775,,,
Low_Risk:Flat-Bet,150,100,0,-160,-5.333,80.368,,,
Low_Risk:Flat-Bet,151,100,0,-224,-7.467,67.844,,,
Low_Risk:Flat-Bet,152,100,0,-164,-5.467,90.464,,,
Low_Risk:Flat-Bet,153,100,0,-142,-4.733,98.064,,,
Low_Risk:Flat-Bet,154,100,0,-206,-6.867,98.671,,,
Low_Risk:Flat-Bet,155,100,0,-220,-7.333,166.437,,,
Low_Risk:Flat-Bet,156,100,0,-140,-4.667,112.92,,,
Low_Risk:Flat-Bet,157,100,0,-198,-6.6,35.352,,,
Low_Risk:Flat-Bet,158,100,0,-220,-7.333,130.575,,,
Low_Risk:Flat-Bet,159,100,0,-114,-3.8,103.269,,,
Low_Risk:Flat-Bet,160,100,0,-116,-3.867,61.223,,,
Low_Risk:Flat-Bet,161,100,0,-200,-6.667,88.644,,,
Low_Risk:Flat-Bet,162,100,0,-198,-6.6,90.8,,,
Low_Risk:Flat-Bet,163,100,0,-128,-4.267,118.823,,,
Low_Risk:Flat-Bet,164,100,0,-106,-3.533,62.809,,,
Low_Risk:Flat-Bet,165,100,0,-104,-3.467,70.602,,,
Low_Risk:Flat-Bet,166,100,0,-142,-4.733,77.099,,,
Low_Risk:Flat-Bet,167,100,0,-140,-4.667,81.747,,,
Low_Risk:Flat-Bet,168,100,0,-184,-6.133,65.361,,,
Low_Risk:Flat-Bet,169,100,0,-118,-3.933,58.616,,,
Low_Risk:Flat-Bet,170,100,0,-178,-5.933,107.995,,,
Low_Risk:Flat-Bet,171,100,0,-284,-9.467,109.499,,,
Low_Risk:Flat-Bet,172,100,0,-246,-8.2,83.407,,,
Low_Risk:Flat-Bet,173,100,0,-110,-3.667,97.402,,,
Low_Risk:Flat-Bet,174,100,0,-180,-6,107.862,,,
Low_Risk:Flat-Bet,175,100,0,-160,-5.333,84.23,,,
Low_Risk:Flat-Bet,176,100,0,-248,-8.267,76.064,,,
Low_Risk:Flat-Bet,177,100,0,-126,-4.2,113.476,,,
Low_Risk:Flat-Bet,178,100,0,-74,-2.467,89.844,,,
Low_Risk:Flat-Bet,179,100,0,-54,-1.8,69.614,,,
Low_Risk:Flat-Bet,180,100,0,-148,-4.933,109.995,,,
Low_Risk:Flat-Bet,181,100,0,-234,-7.8,107.959,,,
Low_Risk:Flat-Bet,182,100,0,-142,-4.733,90.616,,,
Low_Risk:Flat-Bet,183,100,0,-148,-4.933,85.444,,,
Low_Risk:Flat-Bet,184,100,0,-130,-4.333,90.23,,,
Low_Risk:Flat-Bet,185,100,0,-270,-9,102,,,
Low_Risk:Flat-Bet,186,100,0,-154,-5.133,79.637,,,
Low_Risk:Flat-Bet,187,100,0,-126,-4.2,113.2,,,
Low_Risk:Flat-Bet,188,100,0,-154,-5.133,105.292,,,
Low_Risk:Flat-Bet,189,100,0,-212,-7.067,108.616,,,
Low_Risk:Flat-Bet,190,100,0,-226,-7.533,80.189,,,
Low_Risk:Flat-Bet,191,100,0,-194,-6.467,92.602,,,
Low_Risk:Flat-Bet,192,100,0,-122,-4.067,105.789,,,
Low_Risk:Flat-Bet,193,100,0,-156,-5.2,149.683,,,
Low_Risk:Flat-Bet,194,100,0,-282,-9.4,129.421,,,
Low_Risk:Flat-Bet,195,100,0,-146,-4.867,152.464,,,
Low_Risk:Flat-Bet,196,100,0,-214,-7.133,75.775,,,
Low_Risk:Flat-Bet,197,100,0,-188,-6.267,139.237,,,
Low_Risk:Flat-Bet,198,100,0,-170,-5.667,66.782,,,
Low_Risk:Flat-Bet,199,100,0,-130,-4.333,90.782,,,
Low_Risk:Flat-Bet,200,100,0,-182,-6.067,120.133,,,
Low_Risk:Flat-Bet,201,100,0,-128,-4.267,132.34,,,
Low_Risk:Flat-Bet,202,100,0,-228,-7.6,95.283,,,
Low_Risk:Flat-Bet,203,100,0,-94,-3.133,105.016,,,
Low_Risk:Flat-Bet,204,100,0,-118,-3.933,83.72,,,
Low_Risk:Flat-Bet,205,100,0,-152,-5.067,85.72,,,
Low_Risk:Flat-Bet,206,100,0,-282,-9.4,59.352,,,
Low_Risk:Flat-Bet,207,100,0,-154,-5.133,93.154,,,
Low_Risk:Flat-Bet,208,100,0,-94,-3.133,82.671,,,
Low_Risk:Flat-Bet,209,100,0,-190,-6.333,71.471,,,
Low_Risk:Flat-Bet,210,100,0,-154,-5.133,156.602,,,
Low_Risk:Flat-Bet,211,100,0,-166,-5.533,108.051,,,
Low_Risk:Flat-Bet,212,100,0,-184,-6.133,110.602,,,
Low_Risk:Flat-Bet,213,100,0,-214,-7.133,125.982,,,
Low_Risk:Flat-Bet,214,100,0,-216,-7.2,50.924,,,
Low_Risk:Flat-Bet,215,100,0,-152,-5.067,110.823,,,
Low_Risk:Flat-Bet,216,100,0,-206,-6.867,68.878,,,
Low_Risk:Flat-Bet,217,100,0,-130,-4.333,81.126,,,
Low_Risk:Flat-Bet,218,100,0,-166,-5.533,129.568,,,
Low_Risk:Flat-Bet,219,100,0,-158,-5.267,79.857,,,
Low_Risk:Flat-Bet,220,100,0,-264,-8.8,128.993,,,
Low_Risk:Flat-Bet,221,100,0,-122,-4.067,77.926,,,
Low_Risk:Flat-Bet,222,100,0,-210,-7,73.862,,,
Low_Risk:Flat-Bet,223,100,0,-124,-4.133,123.016,,,
Low_Risk:Flat-Bet,224,100,0,-100,-3.333,69.333,,,
Low_Risk:Flat-Bet,225,100,0,-196,-6.533,69.223,,,
Low_Risk:Flat-Bet,226,100,0,-202,-6.733,78.202,,,
Low_Risk:Flat-Bet,227,100,0,-82,-2.733,75.444,,,
Low_Risk:Flat-Bet,228,100,0,-136,-4.533,137.913,,,
Low_Risk:Flat-Bet,229,100,0,-122,-4.067,136.133,,,
Low_Risk:Flat-Bet,230,100,0,-74,-2.467,78.809,,,
Low_Risk:Flat-Bet,231,100,0,-164,-5.467,116.395,,,
Low_Risk:Flat-Bet,232,100,0,-230,-7.667,73.678,,,
Low_Risk:Flat-Bet,233,100,0,-202,-6.733,96.685,,,
Low_Risk:Flat-Bet,234,100,0,-208,-6.933,85.72,,,
Low_Risk:Flat-Bet,235,100,0,-190,-6.333,60.989,,,
Low_Risk:Flat-Bet,236,100,0,-224,-7.467,99.292,,,
Low_Risk:Flat-Bet,237,100,0,-106,-3.533,66.947,,,
Low_Risk:Flat-Bet,238,100,0,-118,-3.933,95.03,,,
Low_Risk:Flat-Bet,239,100,0,-220,-7.333,69.609,,,
Low_Risk:Flat-Bet,240,100,0,-108,-3.6,103.283,,,
Low_Risk:Flat-Bet,241,100,0,-116,-3.867,59.016,,,
Low_Risk:Flat-Bet,242,100,0,-200,-6.667,94.437,,,
Low_Risk:Flat-Bet,243,100,0,-142,-4.733,99.444,,,
Low_Risk:Flat-Bet,244,100,0,-132,-4.4,144.938,,,
Low_Risk:Flat-Bet,245,100,0,-220,-7.333,115.126,,,
Low_Risk:Flat-Bet,246,100,0,-96,-3.2,119.338,,,
Low_Risk:Flat-Bet,247,100,0,-162,-5.4,133.834,,,
Low_Risk:Flat-Bet,248,100,0,-278,-9.267,77.926,,,
