Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,,
Low_Risk:Flat-Bet,84,100,0,-205,-6.833,16.971,,,
Low_Risk:Flat-Bet,85,100,0,-158,-5.267,19.582,,,
Low_Risk:Flat-Bet,86,100,0,-221,-7.367,25.413,,,
Low_Risk:Flat-Bet,87,100,0,-155,-5.167,20.626,,,
Low_Risk:Flat-Bet,88,100,0,-185,-6.167,26.833,,,
Low_Risk:Flat-Bet,89,100,0,-195,-6.5,38.328,,,
Low_Risk:Flat-Bet,90,100,0,-156,-5.2,20.441,,,
Low_Risk:Flat-Bet,91,100,0,-202,-6.733,31.306,,,
Low_Risk:Flat-Bet,92,100,0,-238,-7.933,35.444,,,
Low_Risk:Flat-Bet,93,100,0,-176,-5.867,21.154,,,
Low_Risk:Flat-Bet,94,100,0,-201,-6.7,32.769,,,
Low_Risk:Flat-Bet,95,100,0,-188,-6.267,28.616,,,
Low_Risk:Flat-Bet,96,100,0,-171,-5.7,32.217,,,
Low_Risk:Flat-Bet,97,100,0,-173,-5.767,26.323,,,
Low_Risk:Flat-Bet,98,100,0,-189,-6.3,42.01,,,
Low_Risk:Flat-Bet,99,100,0,-176,-5.867,15.568,,,
Low_Risk:Flat-Bet,100,100,0,-206,-6.867,31.706,,,
Low_Risk:Flat-Bet,101,100,0,-192,-6.4,32.248,,,
Low_Risk:Flat-Bet,102,100,0,-224,-7.467,43.223,,,
Low_Risk:Flat-Bet,103,100,0,-207,-6.9,25.266,,,
Low_Risk:Flat-Bet,104,100,0,-166,-5.533,24.74,,,
Low_Risk:Flat-Bet,105,100,0,-173,-5.767,14.185,,,
Low_Risk:Flat-Bet,106,100,0,-178,-5.933,28.685,,,
Low_Risk:Flat-Bet,107,100,0,-241,-8.033,24.723,,,
Low_Risk:Flat-Bet,108,100,0,-204,-6.8,14.855,,,
Low_Risk:Flat-Bet,109,100,0,-195,-6.5,31.569,,,
Low_Risk:Flat-Bet,110,100,0,-232,-7.733,35.306,,,
Low_Risk:Flat-Bet,111,100,0,-215,-7.167,27.937,,,
Low_Risk:Flat-Bet,112,100,0,-204,-6.8,23.476,,,
Low_Risk:Flat-Bet,113,100,0,-199,-6.633,24.999,,,
Low_Risk:Flat-Bet,114,100,0,-173,-5.767,27.978,,,
Low_Risk:Flat-Bet,115,100,0,-188,-6.267,32.961,,,
Low_Risk:Flat-Bet,116,100,0,-168,-5.6,13.834,,,
Low_Risk:Flat-Bet,117,100,0,-181,-6.033,27.895,,,
Low_Risk:Flat-Bet,118,100,0,-199,-6.633,19.275,,,
Low_Risk:Flat-Bet,119,100,0,-213,-7.1,31.266,,,
Low_Risk:Flat-Bet,120,100,0,-199,-6.633,31.895,,,
Low_Risk:Flat-Bet,121,100,0,-140,-4.667,26.299,,,
Low_Risk:Flat-Bet,122,100,0,-229,-7.633,20.171,,,
Low_Risk:Flat-Bet,123,100,0,-163,-5.433,33.909,,,
Low_Risk:Flat-Bet,124,100,0,-223,-7.433,22.254,,,
Low_Risk:Flat-Bet,125,100,0,-192,-6.4,29.214,,,
Low_Risk:Flat-Bet,126,100,0,-152,-5.067,25.375,,,
Low_Risk:Flat-Bet,127,100,0,-208,-6.933,18.685,,,
Low_Risk:Flat-Bet,128,100,0,-195,-6.5,41.845,,,
Low_Risk:Flat-Bet,129,100,0,-213,-7.1,24.231,,,
Low_Risk:Flat-Bet,130,100,0,-231,-7.7,21.114,,,
Low_Risk:Flat-Bet,131,100,0,-179,-5.967,22.861,,,
Low_Risk:Flat-Bet,132,100,0,-182,-6.067,21.651,,,
Low_Risk:Flat-Bet,133,100,0,-182,-6.067,40.064,,,
Low_Risk:Flat-Bet,134,100,0,-213,-7.1,17.059,,,
Low_Risk:Flat-Bet,135,100,0,-196,-6.533,24.464,,,
Low_Risk:Flat-Bet,136,100,0,-188,-6.267,26.823,,,
Low_Risk:Flat-Bet,137,100,0,-186,-6.2,25.614,,,
Low_Risk:Flat-Bet,138,100,0,-164,-5.467,29.775,,,
Low_Risk:Flat-Bet,139,100,0,-261,-8.7,40.424,,,
Low_Risk:Flat-Bet,140,100,0,-226,-7.533,35.637,,,
Low_Risk:Flat-Bet,141,100,0,-210,-7,16,,,
Low_Risk:Flat-Bet,142,100,0,-195,-6.5,43.914,,,
Low_Risk:Flat-Bet,143,100,0,-159,-5.3,27.114,,,
Low_Risk:Flat-Bet,144,100,0,-199,-6.633,22.999,,,
Low_Risk:Flat-Bet,145,100,0,-203,-6.767,29.013,,,
Low_Risk:Flat-Bet,146,100,0,-204,-6.8,14.648,,,
Low_Risk:Flat-Bet,147,100,0,-188,-6.267,38.547,,,
Low_Risk:Flat-Bet,148,100,0,-189,-6.3,34.286,,,
Low_Risk:Flat-Bet,149,100,0,-242,-8.067,27.513,,,
Low_Risk:Flat-Bet,150,100,0,-201,-6.7,27.666,,,
Low_Risk:Flat-Bet,151,100,0,-235,-7.833,25.178,,,
Low_Risk:Flat-Bet,152,100,0,-143,-4.767,32.668,,,
Low_Risk:Flat-Bet,153,100,0,-152,-5.067,31.444,,,
Low_Risk:Flat-Bet,154,100,0,-191,-6.367,16.24,,,
Low_Risk:Flat-Bet,155,100,0,-221,-7.367,38.033,,,
