Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Moderate_Risk:Martingale,197,54.7,1325.252,-733,-24.433,18562.047
Moderate_Risk:Martingale,198,48.267,1396.271,-464,-15.467,33859.43
Moderate_Risk:Martingale,199,43.8,961.683,-1813,-60.433,15836.944
Moderate_Risk:Martingale,200,35.567,899.22,-1589,-52.967,21446.378
Moderate_Risk:Martingale,201,44.467,1011.292,-751,-25.033,30775.275
Moderate_Risk:Martingale,202,42.733,1273.72,-733,-24.433,31449.495
Moderate_Risk:Martingale,203,47.2,1151.2,-249,-8.3,31534.424
Moderate_Risk:Martingale,204,34.7,1008.01,-677,-22.567,38525.013
Moderate_Risk:Martingale,205,42.8,1068.717,-2038,-67.933,9758.133
Moderate_Risk:Martingale,206,41.433,1173.84,-433,-14.433,32084.185
Moderate_Risk:Martingale,207,46.867,1143.292,-1784,-59.467,12434.533
Moderate_Risk:Martingale,208,43.667,918.023,-1537,-51.233,16470.323
Moderate_Risk:Martingale,209,57.333,1231.471,876,29.2,44397.407
Moderate_Risk:Martingale,210,54.3,1358.769,182,6.067,33215.237
Moderate_Risk:Martingale,211,52.633,1289.344,-3,-0.1,31025.817
Moderate_Risk:Martingale,212,54.367,1228.378,348,11.6,38962.248
Moderate_Risk:Martingale,213,54.567,1234.944,64,2.133,34673.568
Moderate_Risk:Martingale,214,44.433,1112.461,-940,-31.333,25323.471
Moderate_Risk:Martingale,215,39.233,945.909,-1501,-50.033,23803.551
Moderate_Risk:Martingale,216,44.567,1088.461,-635,-21.167,33141.937
Moderate_Risk:Martingale,217,46.333,1231.609,-453,-15.1,30569.541
Moderate_Risk:Martingale,218,42.467,1163.982,-720,-24.0,32221.655
Moderate_Risk:Martingale,219,54.3,1190.562,-629,-20.967,36258.447
Moderate_Risk:Martingale,220,39.9,715.817,-2481,-82.7,8978.7
Moderate_Risk:Martingale,221,41.533,753.844,-1991,-66.367,15601.275
Moderate_Risk:Martingale,222,50.0,1143.724,-1440,-48.0,18749.586
Moderate_Risk:Martingale,223,48.2,1113.131,-754,-25.133,24254.464
Moderate_Risk:Martingale,224,38.867,970.051,-1146,-38.2,26099.89
Moderate_Risk:Martingale,225,45.167,1127.109,-835,-27.833,26018.833
Moderate_Risk:Martingale,226,41.967,901.413,-1343,-44.767,21424.737
Moderate_Risk:Martingale,227,42.167,1267.109,-501,-16.7,31605.666
Moderate_Risk:Martingale,228,28.233,449.289,-2554,-85.133,6630.533
Moderate_Risk:Martingale,229,45.467,1282.257,-1298,-43.267,17764.616
Moderate_Risk:Martingale,230,36.267,1034.892,-1878,-62.6,20501.834
Moderate_Risk:Martingale,231,56.567,1413.357,-336,-11.2,27298.028
Moderate_Risk:Martingale,232,42.167,1241.937,-1410,-47.0,15434.552
Moderate_Risk:Martingale,233,53.7,1423.459,438,14.6,39647.697
Moderate_Risk:Martingale,234,46.3,977.941,-966,-32.2,26611.131
Moderate_Risk:Martingale,235,46.667,1127.678,-606,-20.2,35409.407
Moderate_Risk:Martingale,236,44.2,896.372,-1942,-64.733,16213.444
Moderate_Risk:Martingale,237,53.9,1242.3,-745,-24.833,20811.385
Moderate_Risk:Martingale,238,48.8,1142.924,-1386,-46.2,20206.097
Moderate_Risk:Martingale,239,53.833,1254.075,-160,-5.333,31667.885
Moderate_Risk:Martingale,240,38.5,804.534,-2535,-84.5,7207.5
Moderate_Risk:Martingale,241,47.333,1128.368,-629,-20.967,29505.137
Moderate_Risk:Martingale,242,44.733,1229.375,-1196,-39.867,20219.43
Moderate_Risk:Martingale,243,51.6,1238.593,-216,-7.2,29633.476
Moderate_Risk:Martingale,244,50.533,1181.016,-139,-4.633,33206.309
Moderate_Risk:Martingale,245,42.5,1274.948,-1250,-41.667,21292.92
Moderate_Risk:Martingale,246,37.633,1565.206,-673,-22.433,21339.978
Moderate_Risk:Martingale,247,55.267,1168.754,71,2.367,37709.964
Moderate_Risk:Martingale,248,46.867,1190.464,-1732,-57.733,10624.685
Moderate_Risk:Martingale,249,40.633,1067.826,-1826,-60.867,10351.085
Moderate_Risk:Martingale,250,41.2,983.614,-853,-28.433,27036.875
Moderate_Risk:Martingale,251,56.767,1185.426,329,10.967,38240.999
Moderate_Risk:Martingale,252,53.0,1479.172,639,21.3,39509.183
Moderate_Risk:Martingale,253,45.0,1337.103,-432,-14.4,29971.972
Moderate_Risk:Martingale,254,50.033,1204.24,-1506,-50.2,14745.752
Moderate_Risk:Martingale,255,48.567,1131.909,-1169,-38.967,23834.516
Moderate_Risk:Martingale,256,52.933,1068.616,-1541,-51.367,23376.861
Moderate_Risk:Martingale,257,36.333,1006.989,-1768,-58.933,12168.892
Moderate_Risk:Martingale,258,50.267,1443.099,-16,-0.533,31045.154
Moderate_Risk:Martingale,259,41.067,1383.375,-508,-16.933,36571.099
Moderate_Risk:Martingale,260,51.367,966.654,-838,-27.933,27603.444
Moderate_Risk:Martingale,261,48.367,1145.275,-1003,-33.433,23535.357
Moderate_Risk:Martingale,262,40.167,1102.695,-1762,-58.733,22676.754
Moderate_Risk:Martingale,263,46.867,1114.947,-989,-32.967,24973.068
Moderate_Risk:Martingale,264,47.733,1335.237,-78,-2.6,34602.869
Moderate_Risk:Martingale,265,50.1,1312.714,440,14.667,44686.023
Moderate_Risk:Martingale,266,54.733,1522.064,1847,61.567,61655.633
Moderate_Risk:Martingale,267,46.9,1137.334,156,5.2,38830.993
Moderate_Risk:Martingale,268,47.5,1202.259,-1200,-40.0,19428.276
Moderate_Risk:Martingale,269,46.5,829.983,-1554,-51.8,16859.338
Moderate_Risk:Martingale,270,45.667,1179.885,-518,-17.267,25721.789
Moderate_Risk:Martingale,271,47.3,1083.252,-1105,-36.833,27168.626
Moderate_Risk:Martingale,272,56.767,1564.392,1843,61.433,44283.564
Moderate_Risk:Martingale,273,39.133,1158.051,-1386,-46.2,17947.614
Moderate_Risk:Martingale,274,42.667,1128.989,-675,-22.5,32066.948
Moderate_Risk:Martingale,275,49.667,1125.678,-1156,-38.533,22513.499
Moderate_Risk:Martingale,276,53.567,1609.978,596,19.867,36372.809
Moderate_Risk:Martingale,277,41.033,1089.757,-1688,-56.267,18162.754
Moderate_Risk:Martingale,278,45.667,1211.195,-263,-8.767,38535.013
Moderate_Risk:Martingale,279,39.167,979.937,-1431,-47.7,20669.252
Moderate_Risk:Martingale,280,46.233,1173.702,-775,-25.833,23603.247
Moderate_Risk:Martingale,281,41.167,1053.937,-1274,-42.467,24134.051
