Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Moderate_Risk:Martingale,627,92.133,394.051,-179.25,-5.975,3113.476
Moderate_Risk:Martingale,628,93.067,210.34,-646.75,-21.558,3065.805
Moderate_Risk:Martingale,629,88.167,815.385,-567.125,-18.904,3363.168
Moderate_Risk:Martingale,630,91.367,519.689,-67.0,-2.233,3017.62
Moderate_Risk:Martingale,631,88.9,539.403,-530.25,-17.675,3673.652
Moderate_Risk:Martingale,632,82.033,834.378,-866.25,-28.875,3074.947
Moderate_Risk:Martingale,633,87.5,753.638,-254.375,-8.479,3088.961
Moderate_Risk:Martingale,634,74.867,1375.43,-1106.75,-36.892,3549.3
Moderate_Risk:Martingale,635,85.067,920.064,-640.125,-21.337,3645.374
Moderate_Risk:Martingale,636,94.1,254.438,10.0,0.333,2723.501
Moderate_Risk:Martingale,637,95.033,297.964,-107.75,-3.592,2956.416
Moderate_Risk:Martingale,638,93.0,357.448,-205.75,-6.858,3047.943
Moderate_Risk:Martingale,639,91.733,549.651,-203.5,-6.783,2676.477
Moderate_Risk:Martingale,640,95.0,330.897,76.5,2.55,2276.161
Moderate_Risk:Martingale,641,77.333,1016.782,-882.5,-29.417,3502.161
Moderate_Risk:Martingale,642,94.767,233.426,-342.0625,-11.402,2677.602
Moderate_Risk:Martingale,643,90.7,466.355,-221.0,-7.367,2726.055
Moderate_Risk:Martingale,644,89.267,651.857,-196.0,-6.533,2626.757
Moderate_Risk:Martingale,645,91.833,470.971,-73.5,-2.45,2594.782
Moderate_Risk:Martingale,646,87.833,619.868,-386.75,-12.892,3342.033
Moderate_Risk:Martingale,647,89.5,663.017,-536.53125,-17.884,3478.793
Moderate_Risk:Martingale,648,94.133,407.499,48.5,1.617,2260.132
Moderate_Risk:Martingale,649,77.933,1118.685,-958.0,-31.933,3629.879
Moderate_Risk:Martingale,650,87.6,673.352,-754.75,-25.158,2919.851
Moderate_Risk:Martingale,651,85.333,726.161,-522.25,-17.408,3611.95
Moderate_Risk:Martingale,652,90.833,540.213,-439.25,-14.642,3259.852
Moderate_Risk:Martingale,653,90.1,541.472,-414.75,-13.825,2834.289
Moderate_Risk:Martingale,654,83.267,883.926,-867.5,-28.917,2884.894
Moderate_Risk:Martingale,655,88.067,781.306,-99.5,-3.317,2783.487
Moderate_Risk:Martingale,656,79.9,930.369,-902.75,-30.092,4012.028
Moderate_Risk:Martingale,657,94.6,343.972,238.375,7.946,2829.579
Moderate_Risk:Martingale,658,87.333,473.264,-787.5,-26.25,3176.547
Moderate_Risk:Martingale,659,93.3,266.217,-347.75,-11.592,2797.463
Moderate_Risk:Martingale,660,84.8,885.821,-582.25,-19.408,3341.873
Moderate_Risk:Martingale,661,87.167,830.282,-426.0,-14.2,3424.859
Moderate_Risk:Martingale,662,84.667,689.954,-709.0,-23.633,4030.167
Moderate_Risk:Martingale,663,91.0,471.241,-120.875,-4.029,2462.564
Moderate_Risk:Martingale,664,91.833,480.144,-130.0,-4.333,2205.73
Moderate_Risk:Martingale,665,85.2,824.993,-694.25,-23.142,3551.27
Moderate_Risk:Martingale,666,83.033,855.826,-528.75,-17.625,4206.365
Moderate_Risk:Martingale,667,87.667,690.782,-414.125,-13.804,2738.002
Moderate_Risk:Martingale,668,86.267,813.513,-512.375,-17.079,2757.608
Moderate_Risk:Martingale,669,87.967,735.826,-513.5,-17.117,2790.606
Moderate_Risk:Martingale,670,89.633,668.93,-329.5,-10.983,2634.069
Moderate_Risk:Martingale,671,88.667,485.816,-525.5,-17.517,3261.767
Moderate_Risk:Martingale,672,83.467,716.533,-673.5,-22.45,3785.523
Moderate_Risk:Martingale,673,92.1,428.438,-72.5,-2.417,2455.264
Moderate_Risk:Martingale,674,88.467,690.671,-288.5,-9.617,2861.413
Moderate_Risk:Martingale,675,86.3,652.7,-731.0,-24.367,3298.361
Moderate_Risk:Martingale,676,90.367,561.413,-620.375,-20.679,2787.231
Moderate_Risk:Martingale,677,89.367,703.964,-280.0625,-9.335,3415.735
Moderate_Risk:Martingale,678,91.3,557.941,-256.0625,-8.535,2308.641
Moderate_Risk:Martingale,679,91.433,304.254,-648.25,-21.608,3361.18
Moderate_Risk:Martingale,680,97.133,84.395,-194.0,-6.467,1620.292
Moderate_Risk:Martingale,681,88.833,603.454,-639.75,-21.325,2623.406
Moderate_Risk:Martingale,682,84.467,826.12,-936.875,-31.229,2818.403
Moderate_Risk:Martingale,683,82.233,839.702,-983.75,-32.792,3290.401
Moderate_Risk:Martingale,684,87.1,730.99,-467.5,-15.583,2913.928
Moderate_Risk:Martingale,685,87.6,654.179,-291.75,-9.725,3420.777
Moderate_Risk:Martingale,686,87.733,600.064,-529.0,-17.633,3294.365
Moderate_Risk:Martingale,687,88.9,367.403,-356.0,-11.867,3936.895
Moderate_Risk:Martingale,688,85.367,565.757,-732.0,-24.4,3339.684
Moderate_Risk:Martingale,689,89.2,542.028,174.75,5.825,3777.893
Moderate_Risk:Martingale,690,94.833,388.006,167.5,5.583,1528.506
Moderate_Risk:Martingale,691,98.733,22.823,-69.0,-2.3,1865.747
Moderate_Risk:Martingale,692,83.5,993.914,-385.375,-12.846,3430.993
Moderate_Risk:Martingale,693,92.6,400.869,-179.75,-5.992,2414.338
Moderate_Risk:Martingale,694,95.167,284.626,-12.375,-0.412,2905.486
Moderate_Risk:Martingale,695,85.767,667.22,-866.25,-28.875,3546.952
Moderate_Risk:Martingale,696,91.0,396.414,-424.75,-14.158,3082.541
Moderate_Risk:Martingale,697,88.567,447.013,-668.5,-22.283,3636.598
Moderate_Risk:Martingale,698,92.267,452.271,-283.25,-9.442,2139.675
Moderate_Risk:Martingale,699,91.733,517.513,-243.25,-8.108,2080.516
Moderate_Risk:Martingale,700,83.533,839.223,-934.25,-31.142,2589.654
Moderate_Risk:Martingale,701,88.3,745.734,-704.875,-23.496,2807.425
Moderate_Risk:Martingale,702,89.1,551.334,-880.5625,-29.352,2734.622
Moderate_Risk:Martingale,703,87.2,696.234,-371.0,-12.367,2879.706
Moderate_Risk:Martingale,704,82.4,961.766,-833.0,-27.767,3485.172
Moderate_Risk:Martingale,705,90.333,517.126,-429.5,-14.317,2523.095
Moderate_Risk:Martingale,706,85.667,814.161,-575.125,-19.171,3007.899
Moderate_Risk:Martingale,707,93.9,279.266,-388.25,-12.942,2235.438
Moderate_Risk:Martingale,708,89.633,601.482,-695.75,-23.192,4379.201
Moderate_Risk:Martingale,709,85.7,736.217,-297.5,-9.917,3709.329
Moderate_Risk:Martingale,710,91.5,551.845,-387.75,-12.925,3102.501
