Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,fibonacci mean day profit,,,fibonacci mean sum profits,
Moderate_Risk:Fibonacci,64,49,881.517,-1250,-41.667,25727.954,,,,,,
Moderate_Risk:Fibonacci,65,56.367,860.792,-1505,-50.167,14018.557,,,,,,
Moderate_Risk:Fibonacci,66,43.967,786.447,-1689,-56.3,18783.114,,,,,,
Moderate_Risk:Fibonacci,67,53.5,923.707,-179,-5.967,70969.137,,,,,,
Moderate_Risk:Fibonacci,68,53.533,872.74,114,3.8,72925.959,,,,,,
Moderate_Risk:Fibonacci,69,51.1,863.197,-35,-1.167,127628.351,,,,,,
Moderate_Risk:Fibonacci,70,49.5,776.397,-1224,-40.8,25349.338,,,,,,
Moderate_Risk:Fibonacci,71,44.5,984.052,-2004,-66.8,18027.545,,,,,,
Moderate_Risk:Fibonacci,72,48.267,1052.133,-1695,-56.5,13470.466,,,,,,
Moderate_Risk:Fibonacci,73,54.067,919.306,-1028,-34.267,65310.478,,,,,,
Moderate_Risk:Fibonacci,74,62.933,1096.271,1498,49.933,44877.513,,,,,,
Moderate_Risk:Fibonacci,75,51.633,772.861,-2242,-74.733,5947.513,,,,,,
Moderate_Risk:Fibonacci,76,43.9,958.714,-1166,-38.867,20843.016,,,,,,
Moderate_Risk:Fibonacci,77,57.4,1037.972,247,8.233,80871.289,,,,,,
Moderate_Risk:Fibonacci,78,46.167,786.006,-1148,-38.267,28153.513,,,,,,
Moderate_Risk:Fibonacci,79,53.567,1038.116,425,14.167,73005.247,,,,,,
Moderate_Risk:Fibonacci,80,54.467,999.016,-528,-17.6,44898.524,,,,,,
Moderate_Risk:Fibonacci,81,48.967,927.275,-1412,-47.067,39155.444,,,,,,
Moderate_Risk:Fibonacci,82,44.3,702.7,-1790,-59.667,20123.402,,,,,,
Moderate_Risk:Fibonacci,83,47.6,971.834,-854,-28.467,26818.809,,,,,,
Moderate_Risk:Fibonacci,84,46.3,893.597,-964,-32.133,29124.671,,,,,,
Moderate_Risk:Fibonacci,85,53.2,1000.372,-479,-15.967,56524.792,,,,,,
Moderate_Risk:Fibonacci,86,56.633,1141.137,-122,-4.067,33244.409,,,,,,
Moderate_Risk:Fibonacci,87,47.633,683.689,-1774,-59.133,21355.43,,,,,,
Moderate_Risk:Fibonacci,88,53.567,963.633,-31,-1.033,60584.378,,,,,,
Moderate_Risk:Fibonacci,89,53.467,1307.637,-160,-5.333,30159.678,,,,,,
Moderate_Risk:Fibonacci,90,57.533,864.051,56,1.867,69803.499,,,,,,
Moderate_Risk:Fibonacci,91,47.433,1138.254,915,30.5,138690.948,,,,,,
Moderate_Risk:Fibonacci,92,42.7,672.976,-1938,-64.6,37594.8,,,,,,
Moderate_Risk:Fibonacci,93,52.667,1314.575,741,24.7,60257.252,,,,,,
Moderate_Risk:Fibonacci,94,51.067,1047.72,391,13.033,76373.826,,,,,,
Moderate_Risk:Fibonacci,95,47.267,998.133,-1061,-35.367,33895.137,,,,,,
Moderate_Risk:Fibonacci,96,43.667,756.092,-1115,-37.167,53686.006,,,,,,
Moderate_Risk:Fibonacci,97,42.533,764.878,-1770,-59,31993.034,,,,,,
Moderate_Risk:Fibonacci,98,46.633,1083.344,2526,84.2,380777.2,,,,,,
Moderate_Risk:Fibonacci,99,50.733,914.892,-533,-17.767,42090.53,,,,,,
Moderate_Risk:Fibonacci,100,48.6,835.972,-1381,-46.033,20393.206,,,,,,
Moderate_Risk:Fibonacci,101,50.5,916.121,-1717,-57.233,26270.323,,,,,,
Moderate_Risk:Fibonacci,102,40.8,781.752,-2566,-85.533,6278.533,,,,,,
Moderate_Risk:Fibonacci,103,57.367,1005.137,-12,-0.4,42979.972,,,,,,
Moderate_Risk:Fibonacci,104,44.7,971.734,-1544,-51.467,18400.326,,,,,,
Moderate_Risk:Fibonacci,105,46.067,1171.651,-479,-15.967,30805.689,,,,,,
Moderate_Risk:Fibonacci,106,53.6,836.8,-1906,-63.533,9237.154,,,,,,
Moderate_Risk:Fibonacci,107,39.833,645.868,-1620,-54,23354.552,,,,,,
Moderate_Risk:Fibonacci,108,53.733,1105.03,343,11.433,38763.22,,,,,,
Moderate_Risk:Fibonacci,109,48.067,992.202,-1729,-57.633,12974.792,,,,,,
Moderate_Risk:Fibonacci,110,40.733,568.064,-3000,-100,0,,,,,,
Moderate_Risk:Fibonacci,111,47.467,871.568,-1181,-39.367,38660.033,,,,,,
Moderate_Risk:Fibonacci,112,54.567,830.323,-1316,-43.867,21820.189,,,,,,
Moderate_Risk:Fibonacci,113,43.767,489.426,-1789,-59.633,48884.033,,,,,,
Moderate_Risk:Fibonacci,114,47.3,918.631,-1691,-56.367,13961.344,,,,,,
Moderate_Risk:Fibonacci,115,44.633,650.447,-1577,-52.567,21718.944,,,,,,
Moderate_Risk:Fibonacci,116,58.7,1019.734,1129,37.633,81027.068,,,,,,
Moderate_Risk:Fibonacci,117,55.333,1228.023,1658,55.267,67240.133,,,,,,
Moderate_Risk:Fibonacci,118,47.667,952.851,-1521,-50.7,18194.217,,,,,,
Moderate_Risk:Fibonacci,119,43.267,809.237,-610,-20.333,155875.333,,,,,,
Moderate_Risk:Fibonacci,120,49.867,1175.154,574,19.133,53274.12,,,,,,
