Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits
Moderate_Risk:Fibonacci,35,58.1,1228.852,571,19.033,62665.62
Moderate_Risk:Martingale,36,56.167,1109.661,-1269,-42.3,19776.7
Moderate_Risk:Fibonacci,36,58.067,891.168,-1633,-54.433,11116.944
Moderate_Risk:Martingale,37,41.467,782.257,-2224,-74.133,11241.913
Moderate_Risk:Fibonacci,37,43.6,749.421,-2115,-70.5,8177.707
Moderate_Risk:Martingale,38,44.567,1250.599,-171,-5.7,30565.114
Moderate_Risk:Fibonacci,38,49.0,850.276,-1838,-61.267,10153.995
Moderate_Risk:Martingale,39,50.233,1390.254,1083,36.1,48398.507
Moderate_Risk:Fibonacci,39,49.867,1122.671,656,21.867,87211.568
Moderate_Risk:Martingale,40,50.6,1381.972,-101,-3.367,33902.033
Moderate_Risk:Fibonacci,40,52.833,1131.247,-853,-28.433,18386.116
Moderate_Risk:Martingale,41,43.667,1050.575,-1442,-48.067,18714.271
Moderate_Risk:Fibonacci,41,43.1,953.403,-1317,-43.9,17628.99
Moderate_Risk:Martingale,42,44.533,828.878,-2272,-75.733,9899.582
Moderate_Risk:Fibonacci,42,55.7,779.252,-685,-22.833,34623.385
Moderate_Risk:Martingale,43,55.067,1192.892,-415,-13.833,25276.626
Moderate_Risk:Fibonacci,43,54.1,1079.403,-564,-18.8,21898.993
Moderate_Risk:Martingale,44,44.533,905.568,-1613,-53.767,19908.047
Moderate_Risk:Fibonacci,44,48.733,843.72,-1285,-42.833,30891.73
Moderate_Risk:Martingale,45,49.3,1395.528,-211,-7.033,35994.654
Moderate_Risk:Fibonacci,45,59.733,963.099,1361,45.367,80733.689
Moderate_Risk:Martingale,46,45.967,1038.999,-1062,-35.4,23000.869
Moderate_Risk:Fibonacci,46,50.8,884.234,-957,-31.9,40508.645
Moderate_Risk:Martingale,47,48.2,1290.441,273,9.1,44386.438
Moderate_Risk:Fibonacci,47,54.233,1068.185,-118,-3.933,35740.271
Moderate_Risk:Martingale,48,42.9,1192.093,-853,-28.433,28446.737
Moderate_Risk:Fibonacci,48,44.833,1044.351,-26,-0.867,71631.844
Moderate_Risk:Martingale,49,46.6,812.731,-2135,-71.167,8806.833
Moderate_Risk:Fibonacci,49,51.033,768.792,-455,-15.167,51600.902
Moderate_Risk:Martingale,50,53.9,1529.266,370,12.333,34775.885
Moderate_Risk:Fibonacci,50,58.433,852.323,-819,-27.3,23254.286
Moderate_Risk:Martingale,51,40.133,963.016,-2216,-73.867,9902.671
Moderate_Risk:Fibonacci,51,50.8,1166.579,-272,-9.067,46736.478
Moderate_Risk:Martingale,52,49.167,1053.592,-53,-1.767,42464.737
Moderate_Risk:Fibonacci,52,45.967,643.964,-2398,-79.933,6025.513
Moderate_Risk:Martingale,53,42.467,863.154,-1183,-39.433,24904.323
Moderate_Risk:Fibonacci,53,46.433,787.495,-1360,-45.333,29553.954
Moderate_Risk:Martingale,54,45.833,1459.178,-347,-11.567,32690.185
Moderate_Risk:Fibonacci,54,48.0,986.552,-1204,-40.133,34880.326
Moderate_Risk:Martingale,55,46.033,1098.654,-1061,-35.367,22680.378
Moderate_Risk:Fibonacci,55,48.433,903.495,-1649,-54.967,14727.895
Moderate_Risk:Martingale,56,39.933,845.582,-1464,-48.8,21379.821
Moderate_Risk:Fibonacci,56,41.133,591.844,-2743,-91.433,2201.633
Moderate_Risk:Martingale,57,43.0,953.517,-1953,-65.1,10687.403
Moderate_Risk:Fibonacci,57,42.0,808.69,-1633,-54.433,21806.047
Moderate_Risk:Martingale,58,42.733,1086.133,-785,-26.167,29339.661
Moderate_Risk:Fibonacci,58,53.9,989.197,-762,-25.4,34015.145
Moderate_Risk:Martingale,59,46.467,1128.12,-490,-16.333,29705.609
Moderate_Risk:Fibonacci,59,55.8,1129.752,-229,-7.633,48721.482
Moderate_Risk:Martingale,60,48.367,1183.689,-1105,-36.833,20802.006
Moderate_Risk:Fibonacci,60,43.833,856.764,-2232,-74.4,6348.317
Moderate_Risk:Martingale,61,57.867,1257.43,-381,-12.7,32811.459
Moderate_Risk:Fibonacci,61,53.067,939.444,-471,-15.7,30836.838
Moderate_Risk:Martingale,62,46.567,884.323,-1140,-38.0,28663.103
Moderate_Risk:Fibonacci,62,51.467,768.051,-1065,-35.5,41952.879
